State,Year,Quarter,Brand,Registered Users,Percentage
Andhra Pradesh,2020,2,OnePlus,"309,208",2%
Andhra Pradesh,2020,2,Lenovo,"243,288",2%
Andhra Pradesh,2020,2,Others,"1,053,205",7%
Andhra Pradesh,2020,3,Xiaomi,"3,978,789",25%
Andhra Pradesh,2020,3,Samsung,"3,154,020",20%
Andhra Pradesh,2020,3,Vivo,"2,687,996",17%
Andhra Pradesh,2020,3,Oppo,"1,695,723",11%
Andhra Pradesh,2020,3,Realme,"1,207,622",8%
Andhra Pradesh,2020,3,Motorola,"477,313",3%
Andhra Pradesh,2020,3,Huawei,"408,520",3%
Andhra Pradesh,2020,3,Apple,"370,327",2%
Andhra Pradesh,2020,3,OnePlus,"322,028",2%
Andhra Pradesh,2020,3,Lenovo,"260,912",2%
Andhra Pradesh,2020,3,Others,"1,129,155",7%
Andhra Pradesh,2020,4,Xiaomi,"4,325,662",25%
Andhra Pradesh,2020,4,Samsung,"3,419,866",20%
Andhra Pradesh,2020,4,Vivo,"2,950,572",17%
Andhra Pradesh,2020,4,Oppo,"1,856,052",11%
Andhra Pradesh,2020,4,Realme,"1,361,491",8%
Andhra Pradesh,2020,4,Motorola,"506,158",3%
Andhra Pradesh,2020,4,Huawei,"437,125",3%
Andhra Pradesh,2020,4,Apple,"394,191",2%
Andhra Pradesh,2020,4,OnePlus,"336,518",2%
Andhra Pradesh,2020,4,Lenovo,"276,671",2%
Andhra Pradesh,2020,4,Others,"1,212,259",7%
Andhra Pradesh,2021,1,Xiaomi,"4,644,641",25%
Andhra Pradesh,2021,1,Samsung,"3,635,596",20%
Andhra Pradesh,2021,1,Vivo,"3,245,151",18%
Andhra Pradesh,2021,1,Oppo,"2,010,506",11%
Andhra Pradesh,2021,1,Realme,"1,531,645",8%
Andhra Pradesh,2021,1,Motorola,"518,115",3%
Andhra Pradesh,2021,1,Huawei,"455,604",2%
Andhra Pradesh,2021,1,Apple,"421,002",2%
Andhra Pradesh,2021,1,OnePlus,"355,922",2%
Andhra Pradesh,2021,1,Lenovo,"277,980",2%
Andhra Pradesh,2021,1,Others,"1,267,571",7%
Andhra Pradesh,2021,2,Xiaomi,"4,937,684",25%
Andhra Pradesh,2021,2,Samsung,"3,798,250",19%
Andhra Pradesh,2021,2,Vivo,"3,572,140",18%
Andhra Pradesh,2021,2,Oppo,"2,173,037",11%
Andhra Pradesh,2021,2,Realme,"1,817,804",9%
Andhra Pradesh,2021,2,Motorola,"503,072",3%
Andhra Pradesh,2021,2,Apple,"450,689",2%
Andhra Pradesh,2021,2,Huawei,"440,324",2%
Andhra Pradesh,2021,2,OnePlus,"394,851",2%
Andhra Pradesh,2021,2,Lenovo,"261,201",1%
Andhra Pradesh,2021,2,Others,"1,271,853",6%
Arunachal Pradesh,2018,1,Xiaomi,"5,212",24%
Arunachal Pradesh,2018,1,Samsung,"4,354",20%
Arunachal Pradesh,2018,1,Vivo,"3,523",16%
Arunachal Pradesh,2018,1,Oppo,"2,608",12%
Arunachal Pradesh,2018,1,Realme,"1,297",6%
Arunachal Pradesh,2018,1,Apple,628,3%
Arunachal Pradesh,2018,1,Gionee,563,3%
Arunachal Pradesh,2018,1,Lenovo,420,2%
Arunachal Pradesh,2018,1,OnePlus,403,2%
Arunachal Pradesh,2018,1,Motorola,343,2%
Arunachal Pradesh,2018,1,Others,"2,144",10%
Arunachal Pradesh,2018,2,Xiaomi,"8,058",25%
Arunachal Pradesh,2018,2,Samsung,"6,633",20%
Arunachal Pradesh,2018,2,Vivo,"5,591",17%
Arunachal Pradesh,2018,2,Oppo,"4,204",13%
Arunachal Pradesh,2018,2,Realme,"1,943",6%
Arunachal Pradesh,2018,2,Apple,869,3%
Arunachal Pradesh,2018,2,Gionee,730,2%
Arunachal Pradesh,2018,2,Lenovo,581,2%
Arunachal Pradesh,2018,2,OnePlus,554,2%
Arunachal Pradesh,2018,2,Motorola,514,2%
Arunachal Pradesh,2018,2,Others,"3,206",10%
Arunachal Pradesh,2018,3,Xiaomi,"11,250",24%
Arunachal Pradesh,2018,3,Samsung,"9,307",20%
Arunachal Pradesh,2018,3,Vivo,"8,226",18%
Arunachal Pradesh,2018,3,Oppo,"5,992",13%
Arunachal Pradesh,2018,3,Realme,"2,676",6%
Arunachal Pradesh,2018,3,Apple,"1,153",3%
Arunachal Pradesh,2018,3,Gionee,"1,024",2%
Arunachal Pradesh,2018,3,OnePlus,740,2%
Arunachal Pradesh,2018,3,Motorola,722,2%
Arunachal Pradesh,2018,3,Lenovo,629,1%
Arunachal Pradesh,2018,3,Others,"4,203",9%
Arunachal Pradesh,2018,4,Xiaomi,"15,097",24%
Arunachal Pradesh,2018,4,Samsung,"12,580",20%
Arunachal Pradesh,2018,4,Vivo,"11,624",19%
Arunachal Pradesh,2018,4,Oppo,"8,328",13%
Arunachal Pradesh,2018,4,Realme,"3,613",6%
Arunachal Pradesh,2018,4,Apple,"1,517",2%
Arunachal Pradesh,2018,4,Gionee,"1,188",2%
Arunachal Pradesh,2018,4,Motorola,944,2%
Arunachal Pradesh,2018,4,OnePlus,896,1%
Arunachal Pradesh,2018,4,Lenovo,831,1%
Arunachal Pradesh,2018,4,Others,"5,234",8%
Arunachal Pradesh,2019,1,Xiaomi,"18,809",24%
Arunachal Pradesh,2019,1,Samsung,"15,537",20%
Arunachal Pradesh,2019,1,Vivo,"14,892",19%
Arunachal Pradesh,2019,1,Oppo,"10,738",14%
Arunachal Pradesh,2019,1,Realme,"4,413",6%
Arunachal Pradesh,2019,1,Apple,"1,870",2%
Arunachal Pradesh,2019,1,Gionee,"1,310",2%
Arunachal Pradesh,2019,1,Motorola,"1,137",1%
Arunachal Pradesh,2019,1,OnePlus,"1,114",1%
Arunachal Pradesh,2019,1,Huawei,972,1%
Arunachal Pradesh,2019,1,Others,"6,165",8%
Arunachal Pradesh,2019,2,Xiaomi,"23,326",24%
Arunachal Pradesh,2019,2,Samsung,"19,719",21%
Arunachal Pradesh,2019,2,Vivo,"18,958",20%
Arunachal Pradesh,2019,2,Oppo,"13,678",14%
Arunachal Pradesh,2019,2,Realme,"5,425",6%
Arunachal Pradesh,2019,2,Apple,"2,169",2%
Arunachal Pradesh,2019,2,Gionee,"1,608",2%
Arunachal Pradesh,2019,2,Motorola,"1,404",1%
Arunachal Pradesh,2019,2,OnePlus,"1,251",1%
Arunachal Pradesh,2019,2,Huawei,"1,175",1%
Arunachal Pradesh,2019,2,Others,"7,172",7%
Arunachal Pradesh,2019,3,Xiaomi,"27,394",24%
Arunachal Pradesh,2019,3,Vivo,"22,731",20%
Arunachal Pradesh,2019,3,Samsung,"22,720",20%
Arunachal Pradesh,2019,3,Oppo,"16,262",15%
Arunachal Pradesh,2019,3,Realme,"6,477",6%
Arunachal Pradesh,2019,3,Apple,"2,509",2%
Arunachal Pradesh,2019,3,Gionee,"1,800",2%
Arunachal Pradesh,2019,3,Motorola,"1,561",1%
Arunachal Pradesh,2019,3,OnePlus,"1,390",1%
Arunachal Pradesh,2019,3,Huawei,"1,377",1%
Arunachal Pradesh,2019,3,Others,"7,928",7%
Arunachal Pradesh,2019,4,Xiaomi,"31,369",24%
Arunachal Pradesh,2019,4,Vivo,"26,787",21%
Arunachal Pradesh,2019,4,Samsung,"26,087",20%
Arunachal Pradesh,2019,4,Oppo,"19,208",15%
Arunachal Pradesh,2019,4,Realme,"7,743",6%
Arunachal Pradesh,2019,4,Apple,"2,811",2%
Arunachal Pradesh,2019,4,Gionee,"1,983",2%
Arunachal Pradesh,2019,4,Motorola,"1,637",1%
Arunachal Pradesh,2019,4,Huawei,"1,581",1%
Arunachal Pradesh,2019,4,OnePlus,"1,535",1%
Arunachal Pradesh,2019,4,Others,"8,580",7%
Arunachal Pradesh,2020,1,Xiaomi,"35,625",24%
Arunachal Pradesh,2020,1,Vivo,"31,742",21%
Arunachal Pradesh,2020,1,Samsung,"29,807",20%
Arunachal Pradesh,2020,1,Oppo,"22,566",15%
Arunachal Pradesh,2020,1,Realme,"9,351",6%
Arunachal Pradesh,2020,1,Apple,"3,135",2%
Arunachal Pradesh,2020,1,Gionee,"2,068",1%
Arunachal Pradesh,2020,1,Huawei,"1,768",1%
Arunachal Pradesh,2020,1,Motorola,"1,742",1%
