State,Year,Quarter,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Madhya Pradesh,2018,1,"8,025,395","8,681,603,403","1,082","2,553,603",0
Madhya Pradesh,2018,2,"10,561,412","15,924,081,067","1,508","3,441,662",0
Madhya Pradesh,2018,3,"17,126,985","24,149,742,205","1,410","4,309,309",0
Madhya Pradesh,2018,4,"21,397,555","33,905,608,073","1,585","5,365,442",0
Madhya Pradesh,2019,1,"37,301,049","48,070,279,522","1,289","6,414,403",0
Madhya Pradesh,2019,2,"40,846,013","68,334,566,381","1,673","7,301,172","50,642,151"
Madhya Pradesh,2019,3,"53,610,411","77,676,321,491","1,449","8,180,664","192,353,380"
Madhya Pradesh,2019,4,"68,131,989","104,687,926,791","1,537","9,165,241","237,844,976"
Madhya Pradesh,2020,1,"79,366,746","126,737,281,436","1,597","10,151,371","262,452,480"
Madhya Pradesh,2020,2,"76,340,573","147,922,015,289","1,938","11,374,423","253,770,044"
Madhya Pradesh,2020,3,"108,579,881","205,701,679,985","1,894","12,564,224","324,850,994"
Madhya Pradesh,2020,4,"153,652,541","284,275,139,772","1,850","13,737,947","405,571,446"
Madhya Pradesh,2021,1,"201,998,498","343,533,954,382","1,701","14,839,427","482,500,276"
Madhya Pradesh,2021,2,"223,314,680","425,500,768,036","1,905","15,940,935","727,741,649"
Maharashtra,2018,1,"16,387,034","21,711,613,258","1,325","6,106,994",0
Maharashtra,2018,2,"22,285,740","36,357,057,241","1,631","8,222,371",0
Maharashtra,2018,3,"31,538,538","52,260,817,733","1,657","10,435,033",0
Maharashtra,2018,4,"46,090,223","79,518,937,048","1,725","13,381,602",0
Maharashtra,2019,1,"75,079,069","111,420,690,920","1,484","16,284,451",0
Maharashtra,2019,2,"101,149,853","153,294,470,088","1,516","18,776,975","109,967,705"
Maharashtra,2019,3,"148,735,581","199,617,506,745","1,342","21,313,081","439,998,413"
Maharashtra,2019,4,"201,260,620","272,994,428,800","1,356","23,745,297","543,654,112"
Maharashtra,2020,1,"238,944,081","319,995,196,718","1,339","26,168,390","615,146,568"
Maharashtra,2020,2,"184,790,761","296,359,517,159","1,604","28,765,086","506,354,812"
Maharashtra,2020,3,"268,310,924","440,307,079,012","1,641","31,409,513","668,197,101"
Maharashtra,2020,4,"407,621,004","622,155,530,832","1,526","34,432,631","952,006,770"
Maharashtra,2021,1,"517,860,240","769,887,352,153","1,487","37,077,537","1,101,976,484"
Maharashtra,2021,2,"573,616,486","915,115,055,624","1,595","39,664,697","1,208,083,592"
Manipur,2018,1,"84,069","128,046,174","1,523","29,925",0
Manipur,2018,2,"151,721","253,209,721","1,669","46,055",0
Manipur,2018,3,"189,258","383,331,245","2,025","61,935",0
Manipur,2018,4,"236,110","605,683,559","2,565","82,589",0
Manipur,2019,1,"265,409","659,898,060","2,486","99,527",0
Manipur,2019,2,"257,425","722,789,942","2,808","117,747","464,829"
Manipur,2019,3,"345,008","863,552,003","2,503","136,316","1,594,205"
Manipur,2019,4,"449,344","1,200,897,682","2,673","155,358","1,855,488"
Manipur,2020,1,"818,801","2,598,590,381","3,174","177,374","2,175,642"
Manipur,2020,2,"1,083,068","3,198,936,213","2,954","215,496","3,011,491"
Manipur,2020,3,"1,420,168","4,615,976,121","3,250","258,563","3,552,375"
